epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5242,2.66565,1.37635,0.64111,3.69642,2.27521,0.02712,0.6,0.02505,0.01043,0.02486,0.55,0.02393,0.01575,1.85848,1.41021,0.67457,4.26398,1.73869,0.00044,0.00044,0.00044
2,20.2979,1.8893,0.55264,0.4746,1.62255,1.7714,0.80001,0.8,0.92275,0.44575,0.85247,0.85,0.95914,0.84869,1.68322,0.80924,0.49536,1.01757,1.58258,0.00088218,0.00088218,0.00088218
3,30.0253,1.87553,0.41599,0.37776,1.47703,1.71136,0.88923,0.95,0.94813,0.51048,0.93675,1,0.995,0.98922,1.53076,0.28009,0.30304,1.03372,1.56175,0.00130614,0.00130614,0.00130614
4,39.7222,1.78255,0.35382,0.28499,1.42015,1.68671,0.72845,0.85,0.85612,0.42602,0.91346,0.85,0.96916,0.91636,1.65626,0.32882,0.12941,2.04653,1.606,0.00171189,0.00171189,0.00171189
5,49.3184,1.73373,0.33519,0.22827,1.17742,1.61654,0.8399,0.7,0.78475,0.34361,0.89085,0.81677,0.89727,0.82932,1.90694,0.39669,0.14958,1.34566,1.75947,0.0018416,0.0018416,0.0018416
6,59.0029,1.75998,0.34296,0.17028,1.11422,1.61066,0.86387,0.85,0.89195,0.44164,0.86387,0.85,0.89195,0.82537,1.64163,0.6654,0.05794,1.76519,1.5325,0.001802,0.001802,0.001802
7,68.9061,1.69965,0.27035,0.15685,1.09507,1.59179,1,0.94988,0.99045,0.56459,1,0.94988,0.99045,0.95668,1.46163,0.24583,0.03854,0.87288,1.39055,0.0017624,0.0017624,0.0017624
8,78.8016,1.6422,0.22721,0.15121,1.07004,1.55013,0.94994,0.94883,0.94094,0.48172,1,0.9977,0.995,0.93884,1.61596,0.29501,0.02779,1.18315,1.57395,0.0017228,0.0017228,0.0017228
9,88.2315,1.61663,0.21548,0.12898,1.02103,1.5098,0.51707,0.6,0.37091,0.18343,0.78121,0.7,0.7564,0.75453,2.43545,0.30469,0.07851,1.66119,2.55114,0.0016832,0.0016832,0.0016832
10,97.7958,1.58476,0.19544,0.13414,0.991,1.5322,0.83508,0.8,0.84421,0.39141,0.83508,0.8,0.91619,0.90187,1.77029,0.19902,0.01764,1.15516,1.81076,0.0016436,0.0016436,0.0016436
11,107.793,1.56186,0.17186,0.10327,0.9597,1.50652,0.73386,1,0.89579,0.5098,0.73386,1,0.92382,0.92382,1.37632,0.18676,0.01355,0.94789,1.35762,0.001604,0.001604,0.001604
12,117.574,1.51101,0.15739,0.09773,0.92915,1.45028,0.94408,1,0.995,0.64327,0.94408,1,0.995,0.995,1.17407,0.12926,0.00629,0.75375,1.21389,0.0015644,0.0015644,0.0015644
13,127.323,1.3911,0.12199,0.07352,0.83838,1.36994,0.98712,1,0.995,0.6767,0.98712,1,0.995,0.995,1.13942,0.09792,0.00937,0.6492,1.18879,0.0015248,0.0015248,0.0015248
14,136.97,1.50656,0.11595,0.11953,0.89145,1.41904,0.98707,1,0.995,0.66804,0.98707,1,0.995,0.995,1.24214,0.1202,0.0094,0.66375,1.21081,0.0014852,0.0014852,0.0014852
15,146.556,1.35736,0.11983,0.08747,0.82514,1.38712,0.97688,1,0.995,0.6659,0.97688,1,0.995,0.995,1.12517,0.11251,0.01033,0.72239,1.17917,0.0014456,0.0014456,0.0014456
16,156.154,1.34018,0.11992,0.07687,0.8159,1.33827,0.9402,1,0.995,0.66537,0.9402,1,0.995,0.995,1.19155,0.10001,0.00575,0.67501,1.1845,0.001406,0.001406,0.001406
17,165.697,1.38786,0.12134,0.08989,0.89778,1.40506,1,0.99434,0.995,0.62671,1,0.99434,0.995,0.995,1.37021,0.09145,0.00751,0.67135,1.27796,0.0013664,0.0013664,0.0013664
