epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8449,3.15504,1.38652,0.68013,3.58319,3.50738,0.69873,0.6,0.69368,0.29356,0.70886,0.60912,0.70128,0.61799,1.96972,0.71376,0.70774,1.7811,2.60719,0.00022,0.00022,0.00022
2,30.3203,1.89485,0.54315,0.51478,1.73775,2.0634,0.49523,0.49093,0.57619,0.26509,0.59771,0.74313,0.70957,0.62174,1.99977,0.68648,0.54244,1.71697,2.49894,0.00045241,0.00045241,0.00045241
3,43.8537,1.79099,0.38507,0.44072,1.31834,1.88901,0.45237,0.5,0.42887,0.12184,0.49584,0.55,0.51372,0.4697,2.74111,0.80356,0.49434,1.95317,3.79102,0.0006769,0.0006769,0.0006769
4,58.5163,1.72626,0.32124,0.36705,1.19315,1.80562,0.33333,0.9,0.37575,0.17854,0.35185,0.95,0.41735,0.40749,1.7469,0.37272,0.06709,20.9691,3.3019,0.00089347,0.00089347,0.00089347
5,75.338,1.72241,0.29482,0.35544,1.15937,1.7754,0.15574,0.95,0.28592,0.10104,0.16393,1,0.28404,0.26353,2.38481,0.60884,0.12213,62.4258,5.0558,0.00110212,0.00110212,0.00110212
6,97.0076,1.57643,0.23519,0.30302,1.05507,1.69243,0.00799,0.55,0.00667,0.00158,0.00367,0.25,0.00231,0.00083,3.35026,10.0567,0.00205,inf,108.275,0.00130285,0.00130285,0.00130285
7,113.666,1.65405,0.24632,0.2143,0.98634,1.74303,0,0,0,0,0.0005,0.05,0.00026,3e-05,nan,nan,nan,nan,nan,0.00149566,0.00149566,0.00149566
8,135.47,1.86739,0.19989,0.20661,1.16592,1.85142,0.48649,0.9,0.56744,0.36065,0.45946,0.85,0.49969,0.27769,1.66196,2.14824,6e-05,11.6768,3.47823,0.00168055,0.00168055,0.00168055
9,146.803,1.75849,0.21774,0.27416,1.07116,1.78954,0.375,0.45,0.24724,0.04916,0.32506,0.7,0.35133,0.13171,3.16435,3.40034,0.00034,12.2088,11.974,0.001736,0.001736,0.001736
10,161.824,1.61993,0.22839,0.22383,0.99879,1.70826,0.38396,0.65,0.36464,0.17598,0.3814,0.55,0.33871,0.20772,1.99433,2.04025,0.01425,6.86879,3.16993,0.001703,0.001703,0.001703
11,180.529,1.62514,0.20134,0.1759,0.98775,1.74617,0.82998,0.8,0.78264,0.37743,0.94926,0.93598,0.94939,0.91873,1.92371,0.23687,0.00066,5.03003,2.74301,0.00167,0.00167,0.00167
12,197.401,1.54368,0.1447,0.16679,0.90454,1.64453,0.99997,1,0.995,0.49531,0.99997,1,0.995,0.97562,1.69601,0.18293,0.0011,1.94254,2.34187,0.001637,0.001637,0.001637
13,223.816,1.43818,0.15725,0.12159,0.86706,1.53513,0.811,0.9,0.88731,0.327,0.811,0.9,0.89362,0.83862,2.33396,0.29993,0.00104,2.34914,2.95916,0.001604,0.001604,0.001604
14,248.662,1.52776,0.16672,0.14545,0.88761,1.6117,0.24659,0.4,0.21547,0.05469,0.729,0.80729,0.85999,0.74395,3.41699,0.54995,0.00047,2.52765,5.3678,0.001571,0.001571,0.001571
15,266.977,1.69303,0.20725,0.14527,0.9456,1.76628,0.99769,1,0.995,0.56583,0.99769,1,0.995,0.84958,1.57723,0.42568,0.0002,2.06257,2.21621,0.001538,0.001538,0.001538
16,287.978,1.47116,0.1564,0.1557,0.80783,1.55114,0.53641,0.9,0.58224,0.34359,0.53641,0.9,0.58224,0.53608,1.39424,0.32186,9e-05,1.86701,1.99297,0.001505,0.001505,0.001505
17,308.592,1.39173,0.12295,0.12935,0.79983,1.51166,0.94662,1,0.99262,0.46845,0.94662,1,0.99262,0.98726,1.77936,0.11396,0.00049,1.21953,2.41257,0.001472,0.001472,0.001472
18,325.356,1.40879,0.11668,0.12825,0.78293,1.54436,0.99365,1,0.995,0.64294,0.99365,1,0.995,0.995,1.22654,0.10799,0.00255,0.66702,1.67229,0.001439,0.001439,0.001439
19,346.345,1.36918,0.10749,0.13676,0.75563,1.51089,1,0.97849,0.995,0.5277,1,0.97849,0.995,0.98564,1.6837,0.16844,0.00097,1.05146,2.14841,0.001406,0.001406,0.001406
20,361.657,1.36462,0.11982,0.14034,0.76425,1.47512,0.12927,0.5,0.09173,0.01631,0.19124,0.5,0.15938,0.13725,3.53059,0.81732,0.00098,3.42826,4.72471,0.001373,0.001373,0.001373
21,378.002,1.32906,0.11558,0.11935,0.69748,1.43573,0.98111,1,0.995,0.60555,0.98111,1,0.995,0.995,1.32163,0.08356,0.00078,0.9185,1.83316,0.00134,0.00134,0.00134
22,395.636,1.3346,0.10336,0.10437,0.77746,1.51713,0.99662,1,0.995,0.5449,0.99662,1,0.995,0.99018,1.52005,0.0944,0.00189,0.69165,1.98972,0.001307,0.001307,0.001307
