epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06242,1.1234,1.82761,9.1779,1.05238,0,0.84944,0.9,0.94554,0.80965,0.84944,0.9,0.94554,0.70507,0.56288,0.74224,1.13704,0.81107,0,0.00021109,0.00021109,0.00021109
2,11.4774,0.68692,1.04624,2.63266,0.82505,0,0.89793,0.95,0.94381,0.72733,0.89793,0.95,0.94887,0.65074,0.76997,1.25995,2.11813,0.86165,0,0.000422566,0.000422566,0.000422566
3,16.7893,0.70255,0.82971,1.80454,0.83297,0,1,0.99142,0.995,0.81674,1,0.99142,0.995,0.83374,0.70647,0.56334,1.86937,0.82446,0,0.000623043,0.000623043,0.000623043
4,22.0597,0.70957,0.68826,1.30631,0.85111,0,0.9729,1,0.995,0.87802,0.9729,1,0.995,0.85941,0.69246,0.46212,1.3618,0.82272,0,0.000812522,0.000812522,0.000812522
5,27.3821,0.77496,0.65993,1.03498,0.86003,0,0.99554,1,0.995,0.80271,0.99554,1,0.995,0.84225,0.79708,0.51,0.62244,0.85844,0,0.000991001,0.000991001,0.000991001
6,32.6652,0.72714,0.63134,0.97846,0.85914,0,0.99026,1,0.995,0.85085,0.99026,1,0.995,0.84117,0.6939,0.40616,0.71949,0.84282,0,0.000973514,0.000973514,0.000973514
7,37.9389,0.66752,0.5797,0.79453,0.83139,0,0.98964,1,0.995,0.81085,0.98964,1,0.995,0.83888,0.72541,0.47087,0.48841,0.86648,0,0.000946016,0.000946016,0.000946016
8,43.1815,0.68761,0.62267,0.83185,0.86312,0,0.99682,1,0.995,0.85575,0.99682,1,0.995,0.87517,0.72617,0.44393,0.51094,0.85126,0,0.000918519,0.000918519,0.000918519
9,48.4405,0.64371,0.56142,0.63074,0.81745,0,0.99692,1,0.995,0.84836,0.99692,1,0.995,0.8189,0.61921,0.32002,0.44761,0.82473,0,0.000891022,0.000891022,0.000891022
10,53.6943,0.60487,0.50541,0.54544,0.82633,0,0.99681,1,0.995,0.82599,0.99681,1,0.995,0.8267,0.63463,0.46701,0.46212,0.8172,0,0.000863525,0.000863525,0.000863525
11,58.9009,0.59632,0.50639,0.51508,0.80767,0,0.9938,1,0.995,0.85495,0.9938,1,0.995,0.82352,0.66033,0.50911,0.46954,0.82921,0,0.000836027,0.000836027,0.000836027
12,64.1786,0.58154,0.48866,0.49855,0.79871,0,0.9477,1,0.99262,0.8594,0.9477,1,0.99262,0.85317,0.6872,0.39114,0.53291,0.83678,0,0.00080853,0.00080853,0.00080853
13,69.4782,0.57907,0.46047,0.50062,0.79958,0,0.9557,1,0.995,0.84521,0.9557,1,0.995,0.83915,0.6124,0.39553,0.43347,0.83013,0,0.000781033,0.000781033,0.000781033
14,74.6884,0.57942,0.52834,0.48247,0.80722,0,0.99053,1,0.995,0.86804,0.99053,1,0.995,0.85358,0.58677,0.33662,0.43484,0.82554,0,0.000753536,0.000753536,0.000753536
15,79.9597,0.53318,0.42429,0.45102,0.81923,0,0.99732,1,0.995,0.89845,0.99732,1,0.995,0.87081,0.54537,0.39047,0.44617,0.81323,0,0.000726038,0.000726038,0.000726038
16,85.2193,0.50676,0.39714,0.4168,0.82458,0,0.99697,1,0.995,0.88765,0.99697,1,0.995,0.835,0.52235,0.37982,0.43611,0.80184,0,0.000698541,0.000698541,0.000698541
17,90.4468,0.53209,0.4629,0.43474,0.79122,0,0.99717,1,0.995,0.91267,0.99717,1,0.995,0.84699,0.45021,0.40598,0.37777,0.79827,0,0.000671044,0.000671044,0.000671044
18,95.6853,0.50388,0.44778,0.41748,0.7987,0,0.99492,1,0.995,0.92785,0.99492,1,0.995,0.822,0.43826,0.40405,0.36047,0.79662,0,0.000643547,0.000643547,0.000643547
19,100.963,0.52603,0.44399,0.43025,0.80785,0,0.99711,1,0.995,0.90385,0.99711,1,0.995,0.87086,0.47957,0.36291,0.40275,0.80376,0,0.000616049,0.000616049,0.000616049
20,106.216,0.51084,0.44118,0.41596,0.79052,0,0.99713,1,0.995,0.89099,0.99713,1,0.995,0.8694,0.50261,0.28959,0.37971,0.80377,0,0.000588552,0.000588552,0.000588552
21,111.536,0.47975,0.45815,0.40138,0.7991,0,0.996,1,0.995,0.91426,0.996,1,0.995,0.8494,0.44326,0.36397,0.36754,0.80093,0,0.000561055,0.000561055,0.000561055
22,116.794,0.45651,0.43102,0.38457,0.80757,0,0.99638,1,0.995,0.89895,0.99638,1,0.995,0.84191,0.4666,0.28658,0.34458,0.79975,0,0.000533558,0.000533558,0.000533558
23,122.042,0.4774,0.44194,0.39236,0.79477,0,0.9955,1,0.995,0.9089,0.9955,1,0.995,0.89389,0.48512,0.26375,0.37182,0.80477,0,0.00050606,0.00050606,0.00050606
24,127.32,0.48134,0.42122,0.38348,0.79211,0,0.99577,1,0.995,0.91162,0.99577,1,0.995,0.8862,0.45719,0.2791,0.34886,0.8011,0,0.000478563,0.000478563,0.000478563
25,132.558,0.44663,0.34044,0.36472,0.80003,0,0.99719,1,0.995,0.92694,0.99719,1,0.995,0.87124,0.43588,0.25888,0.32799,0.79513,0,0.000451066,0.000451066,0.000451066
26,137.794,0.43613,0.42575,0.3599,0.79743,0,0.99723,1,0.995,0.9367,0.99723,1,0.995,0.86789,0.44849,0.27121,0.34666,0.79438,0,0.000423569,0.000423569,0.000423569
27,143.119,0.41405,0.393,0.36114,0.78334,0,0.9973,1,0.995,0.93405,0.9973,1,0.995,0.89973,0.42774,0.33113,0.37055,0.79941,0,0.000396071,0.000396071,0.000396071
28,148.382,0.42823,0.36641,0.35235,0.8013,0,0.99727,1,0.995,0.9412,0.99727,1,0.995,0.89534,0.41779,0.28876,0.3421,0.79727,0,0.000368574,0.000368574,0.000368574
29,153.716,0.3993,0.34479,0.33989,0.77701,0,0.99732,1,0.995,0.92068,0.99732,1,0.995,0.89799,0.44053,0.2507,0.34964,0.79846,0,0.000341077,0.000341077,0.000341077
30,158.953,0.40456,0.36447,0.32715,0.79459,0,0.99728,1,0.995,0.95882,0.99728,1,0.995,0.90709,0.42134,0.24822,0.33973,0.79463,0,0.00031358,0.00031358,0.00031358
31,164.43,0.37381,0.3594,0.33155,0.79911,0,0.99718,1,0.995,0.93162,0.99718,1,0.995,0.89913,0.40262,0.3045,0.32659,0.79211,0,0.000286083,0.000286083,0.000286083
32,169.706,0.37366,0.326,0.3247,0.79933,0,0.99729,1,0.995,0.95048,0.99729,1,0.995,0.86189,0.35951,0.32025,0.29693,0.78774,0,0.000258585,0.000258585,0.000258585
33,174.965,0.36456,0.35768,0.30045,0.78088,0,0.99725,1,0.995,0.96802,0.99725,1,0.995,0.88698,0.32381,0.25483,0.29036,0.78372,0,0.000231088,0.000231088,0.000231088
34,180.209,0.34721,0.33905,0.31656,0.77415,0,0.99726,1,0.995,0.94963,0.99726,1,0.995,0.88014,0.32889,0.24121,0.29282,0.78413,0,0.000203591,0.000203591,0.000203591
35,185.498,0.33864,0.32709,0.31023,0.77186,0,0.99731,1,0.995,0.95537,0.99731,1,0.995,0.90578,0.31675,0.23748,0.2975,0.78394,0,0.000176094,0.000176094,0.000176094
36,190.737,0.32936,0.31934,0.28869,0.76454,0,0.9973,1,0.995,0.97632,0.9973,1,0.995,0.90067,0.3031,0.24034,0.28832,0.78222,0,0.000148596,0.000148596,0.000148596
37,196.02,0.31881,0.33463,0.2814,0.78428,0,0.99734,1,0.995,0.95921,0.99734,1,0.995,0.89388,0.30752,0.25169,0.27095,0.78293,0,0.000121099,0.000121099,0.000121099
38,201.238,0.31663,0.32654,0.27854,0.76992,0,0.99733,1,0.995,0.96538,0.99733,1,0.995,0.88917,0.30145,0.24307,0.27338,0.78189,0,9.36017e-05,9.36017e-05,9.36017e-05
39,206.496,0.3016,0.29484,0.26963,0.78642,0,0.99736,1,0.995,0.96545,0.99736,1,0.995,0.89563,0.28979,0.23304,0.2551,0.78037,0,6.61045e-05,6.61045e-05,6.61045e-05
40,211.748,0.30664,0.29398,0.27678,0.76747,0,0.99732,1,0.995,0.96712,0.99732,1,0.995,0.90009,0.29075,0.23432,0.24929,0.78006,0,3.86073e-05,3.86073e-05,3.86073e-05
