epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0651,0.68317,1.12083,1.88117,0.94809,0,0.95228,0.95,0.9804,0.84251,0.95753,0.96635,0.98232,0.83602,0.49359,0.62164,0.79514,0.85965,0,0.000362104,0.000362104,0.000362104
2,67.8672,0.6654,0.83928,0.78845,0.90762,0,0.97743,0.9278,0.98381,0.81941,0.94858,0.92244,0.98139,0.7495,0.58126,0.8164,0.49402,0.98233,0,0.000723373,0.000723373,0.000723373
3,95.3693,0.67907,0.9156,0.67723,0.91864,0,0.97128,0.96628,0.98606,0.82266,0.94259,0.93823,0.95067,0.73465,0.56684,0.89248,0.55239,0.92015,0,0.00107548,0.00107548,0.00107548
4,122.65,0.65102,0.94151,0.66029,0.91397,0,0.97916,0.94286,0.98227,0.80132,0.97291,0.97143,0.98662,0.77607,0.61329,0.84032,0.53702,0.9044,0,0.00106975,0.00106975,0.00106975
5,149.183,0.64055,0.8045,0.55582,0.89442,0,0.96086,0.96429,0.98919,0.8339,0.97422,0.95,0.99036,0.8199,0.5428,0.85821,0.4958,0.88742,0,0.00105601,0.00105601,0.00105601
6,175.558,0.63696,0.76069,0.55467,0.88903,0,0.91068,0.94681,0.96045,0.82808,0.93384,0.96429,0.97869,0.81187,0.51727,0.64075,0.51257,0.88177,0,0.00104226,0.00104226,0.00104226
7,201.89,0.58369,0.6887,0.49513,0.88031,0,0.97073,0.94286,0.98795,0.86257,0.97073,0.94286,0.98795,0.8447,0.48275,0.52762,0.44993,0.87801,0,0.00102851,0.00102851,0.00102851
8,228.262,0.59464,0.68508,0.48143,0.87792,0,0.97625,0.95,0.9838,0.85304,0.98288,0.95,0.98675,0.82334,0.49328,0.59352,0.44895,0.86981,0,0.00101476,0.00101476,0.00101476
9,254.707,0.58201,0.65335,0.47064,0.8777,0,0.95098,0.97001,0.98288,0.84407,0.96449,0.97008,0.98323,0.86492,0.49882,0.50232,0.42626,0.88429,0,0.00100101,0.00100101,0.00100101
10,281.015,0.57057,0.65491,0.48206,0.88049,0,0.95653,0.97857,0.99105,0.88599,0.95653,0.97857,0.99164,0.87619,0.45418,0.46637,0.40054,0.862,0,0.000987262,0.000987262,0.000987262
11,307.865,0.55745,0.61145,0.46145,0.87136,0,0.97758,0.95714,0.99102,0.86649,0.97758,0.95714,0.99154,0.86421,0.47761,0.44163,0.40764,0.86881,0,0.000973514,0.000973514,0.000973514
12,334.745,0.54915,0.60184,0.452,0.87544,0,0.97626,0.95714,0.98755,0.87203,0.97626,0.95714,0.98977,0.87882,0.47151,0.43783,0.3915,0.86916,0,0.000959765,0.000959765,0.000959765
13,361.064,0.53784,0.57766,0.44153,0.87022,0,0.96416,0.95,0.96781,0.84452,0.9714,0.95714,0.98523,0.86092,0.52203,0.51802,0.41472,0.92542,0,0.000946016,0.000946016,0.000946016
14,387.568,0.52744,0.58476,0.42782,0.86896,0,0.97789,0.94762,0.97958,0.87684,0.97141,0.97073,0.98414,0.86582,0.42545,0.45844,0.38067,0.8637,0,0.000932268,0.000932268,0.000932268
