epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34396,0.5898,0.71299,0.71306,0.82548,0,0.99822,1,0.995,0.93204,0.99822,1,0.995,0.86288,0.39521,0.49401,0.30634,0.78913,0,0.00020006,0.00020006,0.00020006
2,13.4774,0.51774,0.57776,0.41173,0.80963,0,0.99823,1,0.995,0.92591,0.99823,1,0.995,0.85379,0.4111,0.49817,0.29822,0.79016,0,0.000404153,0.000404153,0.000404153
3,19.8174,0.5278,0.55485,0.39441,0.80845,0,0.99822,1,0.995,0.92559,0.99822,1,0.995,0.85825,0.42694,0.47188,0.3238,0.79236,0,0.000597636,0.000597636,0.000597636
4,25.9631,0.52732,0.53385,0.3843,0.80862,0,0.9981,1,0.995,0.89034,0.9981,1,0.995,0.82287,0.49193,0.49378,0.32598,0.7982,0,0.000780509,0.000780509,0.000780509
5,32.4071,0.53114,0.52726,0.38914,0.80648,0,0.99703,1,0.995,0.91076,0.99703,1,0.995,0.8266,0.46293,0.39432,0.34502,0.80146,0,0.000952771,0.000952771,0.000952771
6,38.5433,0.4995,0.49633,0.37735,0.81823,0,0.99758,1,0.995,0.92275,0.99758,1,0.995,0.83778,0.40438,0.35913,0.31661,0.79471,0,0.00111442,0.00111442,0.00111442
7,44.9727,0.47995,0.45234,0.36388,0.79959,0,0.9982,1,0.995,0.91692,0.9982,1,0.995,0.87846,0.45693,0.35952,0.35011,0.79647,0,0.00121679,0.00121679,0.00121679
8,51.1377,0.49952,0.45306,0.37512,0.80822,0,0.99736,1,0.995,0.91927,0.99736,1,0.995,0.8788,0.43953,0.44113,0.31575,0.79457,0,0.00118143,0.00118143,0.00118143
9,57.3081,0.49774,0.42795,0.37089,0.8117,0,0.99815,1,0.995,0.93585,0.99815,1,0.995,0.87038,0.39358,0.35945,0.29884,0.78512,0,0.00114606,0.00114606,0.00114606
10,63.4184,0.52489,0.44304,0.37754,0.8229,0,0.99818,1,0.995,0.923,0.99818,1,0.995,0.88446,0.41537,0.35282,0.31275,0.79164,0,0.00111069,0.00111069,0.00111069
11,69.4322,0.4792,0.37315,0.36413,0.80699,0,0.99818,1,0.995,0.93007,0.99818,1,0.995,0.85051,0.37304,0.34481,0.29759,0.78663,0,0.00107532,0.00107532,0.00107532
